tahun,sub_satuan_kerja,kelompok_umur,jumlah
2013,Subdit Bin Gakkum,Umur 1 tahun s.d 10 tahun,20
2013,Satlantas Wil Jakarta Pusat,Umur 1 tahun s.d 10 tahun,8
2013,Satlantas Wil Jakarta Utara,Umur 1 tahun s.d 10 tahun,30
2013,Satlantas Wil Jakarta Barat,Umur 1 tahun s.d 10 tahun,20
2013,Satlantas Wil Jakarta Selatan,Umur 1 tahun s.d 10 tahun,39
2013,Satlantas Wil Jakarta Timur,Umur 1 tahun s.d 10 tahun,42
2013,Subdit Bin Gakkum,Umur 11 tahun s.d 20 tahun,96
2013,Satlantas Wil Jakarta Pusat,Umur 11 tahun s.d 20 tahun,63
2013,Satlantas Wil Jakarta Utara,Umur 11 tahun s.d 20 tahun,160
2013,Satlantas Wil Jakarta Barat,Umur 11 tahun s.d 20 tahun,102
2013,Satlantas Wil Jakarta Selatan,Umur 11 tahun s.d 20 tahun,145
2013,Satlantas Wil Jakarta Timur,Umur 11 tahun s.d 20 tahun,174
2013,Subdit Bin Gakkum,Umur 21 tahun s.d 30 tahun,191
2013,Satlantas Wil Jakarta Pusat,Umur 21 tahun s.d 30 tahun,159
2013,Satlantas Wil Jakarta Utara,Umur 21 tahun s.d 30 tahun,262
2013,Satlantas Wil Jakarta Barat,Umur 21 tahun s.d 30 tahun,194
2013,Satlantas Wil Jakarta Selatan,Umur 21 tahun s.d 30 tahun,217
2013,Satlantas Wil Jakarta Timur,Umur 21 tahun s.d 30 tahun,263
2013,Subdit Bin Gakkum,Umur 31 tahun s.d 40 tahun,121
2013,Satlantas Wil Jakarta Pusat,Umur 31 tahun s.d 40 tahun,104
2013,Satlantas Wil Jakarta Utara,Umur 31 tahun s.d 40 tahun,195
2013,Satlantas Wil Jakarta Barat,Umur 31 tahun s.d 40 tahun,121
2013,Satlantas Wil Jakarta Selatan,Umur 31 tahun s.d 40 tahun,176
2013,Satlantas Wil Jakarta Timur,Umur 31 tahun s.d 40 tahun,192
2013,Subdit Bin Gakkum,Umur 41 tahun s.d 50 tahun,84
2013,Satlantas Wil Jakarta Pusat,Umur 41 tahun s.d 50 tahun,71
2013,Satlantas Wil Jakarta Utara,Umur 41 tahun s.d 50 tahun,133
2013,Satlantas Wil Jakarta Barat,Umur 41 tahun s.d 50 tahun,92
2013,Satlantas Wil Jakarta Selatan,Umur 41 tahun s.d 50 tahun,134
2013,Satlantas Wil Jakarta Timur,Umur 41 tahun s.d 50 tahun,146
2013,Subdit Bin Gakkum,Umur diatas 51 tahun,57
2013,Satlantas Wil Jakarta Pusat,Umur diatas 51 tahun,56
2013,Satlantas Wil Jakarta Utara,Umur diatas 51 tahun,116
2013,Satlantas Wil Jakarta Barat,Umur diatas 51 tahun,89
2013,Satlantas Wil Jakarta Selatan,Umur diatas 51 tahun,123
2013,Satlantas Wil Jakarta Timur,Umur diatas 51 tahun,164
